"nct_id","title","subject","author","status","last_update","city","state","facility","study_url"
"NCT07089758","A Study for Cerebral Open Flow Microperfusion","Glioma; Glioblastoma","Mayo Clinic","NOT_YET_RECRUITING","2026-03-23","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07089758"
"NCT07488195","A Study Of Phototherapy In Patients With Dementia To Improve BPSD","Dementia","Mayo Clinic","NOT_YET_RECRUITING","2026-03-23","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07488195"
"NCT07455370","A Study of Moral Distress, Moral Injury and Post-Traumatic Stress for Nurses","Moral Injury; Moral Distress; Post-Traumatic Stress; Nurse Well-being; Wellbeing; Wellness, Psychological; Wellness; Nurses; Nurse Health","Mayo Clinic","ENROLLING_BY_INVITATION","2026-03-20","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT07455370"
"NCT07012148","Optimizing Therapy in Epilepsy Using Seizure Forecasts Via EEG and Wearables","Focal Epilepsy; Generalized Seizure; Drug Refractory Epilepsy","Mayo Clinic","RECRUITING","2026-03-19","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07012148"
"NCT03155854","The Effects of Prophylactic Limited Palmar Fasciectomy on Surgical Outcomes and Scarring","Dupuytren Contracture","Mayo Clinic","RECRUITING","2026-03-16","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT03155854"
"NCT04190446","A Study to Evaluate Hypofractionated Proton Therapy or IMRT for Recurrent, Oligometastatic Prostate Cancer","Metastatic Prostate Adenocarcinoma; Oligometastatic Prostate Carcinoma; Prostate Adenocarcinoma; Recurrent Prostate Carcinoma; Stage IV Prostate Cancer AJCC v8","Mayo Clinic","ACTIVE_NOT_RECRUITING","2026-03-16","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT04190446"
"NCT05860751","The Effect of Dry Needling With Electrical Stimulation on Individuals With Restless Legs Syndrome","Neck Pain","Mayo Clinic","NOT_YET_RECRUITING","2026-03-16","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT05860751"
"NCT07207564","Integrating Molecular Pathology, Radiology, and Genetics to Improve Breast Cancer Risk","Breast Carcinoma","Mayo Clinic","RECRUITING","2026-03-13","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07207564"
"NCT06349642","Immune Checkpoint Inhibitor Response in Solid Tumors Using a Live Tumor Diagnostic Platform","Early Stage Triple-Negative Breast Carcinoma; Metastatic Bladder Urothelial Carcinoma; Metastatic Cervical Carcinoma; Metastatic Clear Cell Renal Cell Carcinoma; Metastatic Colorectal Carcinoma; Metastatic Endometrial Carcinoma; Metastatic Esophageal Carcinoma; Metastatic Liver Carcinoma; Metastatic Lung Non-Small Cell Carcinoma; Metastatic Malignant Skin Neoplasm; Metastatic Malignant Solid Neoplasm; Resectable Lung Non-Small Cell Carcinoma; Early Stage Lung Non-Small Cell Carcinoma; Resectable Malignant Solid Neoplasm; Resectable Triple-Negative Breast Carcinoma; Stage III Renal Cell Cancer AJCC v8; Stage IV Cervical Cancer AJCC v8; Stage IV Renal Cell Cancer AJCC v8; Stage IV Uterine Corpus Carcinoma or Carcinosarcoma AJCC v8; Recurrent Cervical Carcinoma; Recurrent Colorectal Carcinoma; Recurrent Endometrial Carcinoma; Recurrent Esophageal Carcinoma; Recurrent Liver Carcinoma; Recurrent Lung Non-Small Cell Carcinoma; Recurrent Malignant Skin Neoplasm; Recurrent Malignant Solid Neoplasm","Mayo Clinic","RECRUITING","2026-03-12","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06349642"
"NCT03190889","Neuromuscular Intervention Targeted to Mechanisms of ACL Load in Female Athletes","Rehabilitation; ACL Reconstruction","Mayo Clinic","COMPLETED","2026-03-11","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT03190889"
